name,first-order,unsatisfiable,well-formed,unique names,vampire solution result,vampire solution time (ms),vampire TSTP size (bytes),vampire compilation result,vampire compilation time (ms),vampire TESC size (bytes),vampire VTV verification result,vampire VTV verification time (ms),vampire VTV verification memory (kb),vampire OTV verification result,vampire OTV verification time (ms),vampire OTV verification memory (kb),eprover solution result,eprover solution time (ms),eprover TSTP size (bytes),eprover compilation result,eprover compilation time (ms),eprover TESC size (bytes),eprover VTV verification result,eprover VTV verification time (ms),eprover VTV verification memory (kb),eprover OTV verification result,eprover OTV verification time (ms),eprover OTV verification memory (kb)
AGT001+1,yes,yes,yes,yes,success,15,1363,success,100,769,success,60,14764,success,30,14800,success,39,42247,success,96,1619,success,50,14612,success,30,14724
AGT001+2,yes,yes,yes,yes,success,150,1365,success,118,769,success,60,16000,success,30,14724,success,38,61605,success,118,1619,success,70,16768,success,30,14676
AGT002+1,yes,yes,yes,yes,success,15,1446,success,93,868,success,60,14664,success,30,14576,success,33,47161,success,92,2171,success,50,14640,success,30,14656
AGT002+2,yes,yes,yes,yes,success,117,1448,success,120,868,success,80,16148,success,30,14600,success,37,64825,success,119,2171,success,70,17620,success,30,14680
AGT003+1,yes,yes,yes,yes,success,25,4632,success,105,5997,success,40,14648,success,30,14592,success,157,107163,success,115,10868,success,60,14628,success,40,14704
AGT003+2,yes,yes,yes,yes,success,30,3655,success,122,4152,success,80,17864,success,30,14764,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT004+1,yes,yes,yes,yes,success,19,4911,success,102,5755,success,60,14636,success,30,14712,success,32,44833,success,111,10499,success,50,14712,success,40,14660
AGT004+2,yes,yes,yes,yes,success,22,2395,success,120,2813,success,70,17632,success,30,14656,success,38,62357,success,122,5852,success,70,17692,success,30,14632
AGT005+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT005+2,yes,yes,yes,yes,success,144,3655,success,123,4152,success,60,17872,success,30,14816,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
